10722.672220103253, 5.831305113526004e-33
17475.28400007683, 9.794696670695145e-33
30010.46517818881, 1.7508270317356623e-32
53366.99231206324, 3.002461709085457e-32
96571.39052965998, 5.71158647812626e-32
162975.083462064, 1.2563166024740907e-31
351119.17342151277, 4.546295469532334e-31
669510.7825337318, 1.365007806545997e-30
1169989.1065890617, 3.400411932703675e-30
1658429.3294958137, 4.36153778920797e-30
2898152.352699646, 3.6187498124112544e-30
5623413.251903491, 4.361537789207935e-30
